ABM - Aqua Super,,,,,,,,,
,,,Municipal Corporation of Greater Mumbai,,,,,Date :,06-04-2017
,,,Hydraulic Engineer's Department,,,,,,
,,,WARD WISE DEMAND REPORT FROM 01/04/2016 To 31/03/2017,,,,,,
WARD,BILL COUNT,CCN COUNT,W.CHRG,S.CHRG,M.RENT,ADDL.CHRG,TOTAL DEMAND,COMSUMPTION,
A-ward,30802,4390,529862726,342246383,1712660,80088867,953910636,23591958,
B-ward,8013,1293,148659822,30483847,451320,11167267,190762256,4145267,
C-ward,11113,2136,54775565,37827693,844335,9462557,102910150,2484867,
D-ward,43127,7241,360441129,223336884,3116280,59152914,646047207,26189490,
E-ward,17382,3230,273336158,156746385,1198550,100076828,531357921,17046105,
F/North-ward,52560,11584,266355030,175148029,1104465,96140684,538748208,29959845,
F/South-ward,20735,3936,217840813,141381395,661685,48661070,408544963,18558796,
G/North-ward,40483,8893,202574070,133393545,1717335,62481514,400166464,20811382,
G/South-ward,22839,4026,308911474,203204047,310075,95748898,608174494,20188494,
H/East-ward,109469,26826,365575660,222392204,2183230,205170336,795321430,32479860,
H/West-ward,68762,16083,241534613,169059843,6759000,32943298,450296754,25523503,
J-Tansa,229,19,2093922,0,0,1039903,3133825,413361,
J-Vaitarna,63,5,103907,0,0,109810,213717,73250,
J-ward,1161,97,253483497,0,0,44829920,298313417,53453874,
K/East-ward,116238,27112,707417041,488622670,4354875,83236882,1283631468,56695973,
K/West-ward,95195,22086,510765862,357084613,2754900,88677621,959282996,54997122,
L-ward,107982,25841,405707263,265618541,1976060,196320333,869622197,46100488,
M/East-ward,106976,22080,469901992,169276940,520305,152166120,791865357,35185903,
M/West-ward,74414,17436,519135359,318603266,2518380,66109711,906366716,29686995,
N-ward,61189,13754,310192459,216600128,2516825,65517804,594827216,37349534,
P/North-ward,124067,29309,343855627,240082008,2184840,47221376,633343851,48845131,
P/South-ward,59167,12807,333782129,231667864,1761435,61032873,628244301,32862264,
R/Central-ward,60314,14428,295150820,202523112,1984945,42157291,541816168,39811784,
R/North-ward,50488,12260,177907708,124369185,1058560,7021573,310357026,25380346,
R/South-ward,88306,21262,291617508,203109602,1268805,45331426,541327341,43500151,
S-ward,101073,23522,371200848,258134798,2150220,54482065,685967931,51611818,
T-ward,45138,10297,254657315,171520703,3769980,38534635,468482633,28811579,
WARD,BILL COUNT,CCN COUNT,W.CHRG,S.CHRG,M.RENT,ADDL.CHRG,TOTAL DEMAND,COMSUMPTION
GRAND TOTAL:,1517285,341953,8216840317,5082433685,48879065,1794883576,15143036643,805759140
